,sector,specialisation,occ,occ_gender,obj,logits_list_obj,experiment,model_name,context,neutral_check_occ_first,match_truth_occ_first,par,par_gender,logits_list_occ_first,logits_list_par_first,neutral_check_par_first,match_truth_par_first
5,education,institutional,teacher,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.3347167969, 'her': 0.33203125, 'their': 0.3332519531}","{'his': 0.3334960938, 'her': 0.3317871094, 'their': 0.3349609375}",True,False
9,education,institutional,teacher,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.3352050781, 'her': 0.3317871094, 'their': 0.3330078125}","{'his': 0.3342285156, 'her': 0.3325195312, 'their': 0.3332519531}",False,False
25,education,general_courses,instructor,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.3359375, 'her': 0.330078125, 'their': 0.333984375}","{'his': 0.3349609375, 'her': 0.330078125, 'their': 0.3352050781}",True,False
27,education,general_courses,instructor,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.333984375, 'her': 0.3334960938, 'their': 0.3327636719}","{'his': 0.3330078125, 'her': 0.3347167969, 'their': 0.3322753906}",False,True
28,education,general_courses,instructor,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.3347167969, 'her': 0.3322753906, 'their': 0.3330078125}","{'his': 0.33203125, 'her': 0.3342285156, 'their': 0.3337402344}",False,True
45,medical,mental_health,counsellor,masculine,,,CLIP,clip,context_OP,False,True,patient,feminine,"{'his': 0.3342285156, 'her': 0.3325195312, 'their': 0.3332519531}","{'his': 0.3347167969, 'her': 0.3330078125, 'their': 0.3322753906}",False,False
144,office,legal,paralegal,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3344726562, 'her': 0.3325195312, 'their': 0.3330078125}","{'his': 0.3337402344, 'her': 0.33203125, 'their': 0.3342285156}",True,False
146,office,legal,paralegal,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3352050781, 'her': 0.3327636719, 'their': 0.3322753906}","{'his': 0.3342285156, 'her': 0.3325195312, 'their': 0.3332519531}",False,False
163,office,financial,accountant,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3337402344, 'her': 0.3325195312, 'their': 0.3337402344}","{'his': 0.3327636719, 'her': 0.3317871094, 'their': 0.3354492188}",True,False
183,office,financial,auditor,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3342285156, 'her': 0.3322753906, 'their': 0.3332519531}","{'his': 0.3325195312, 'her': 0.3327636719, 'their': 0.3344726562}",True,False
184,office,financial,auditor,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3361816406, 'her': 0.3310546875, 'their': 0.3327636719}","{'his': 0.3344726562, 'her': 0.3315429688, 'their': 0.3342285156}",False,False
185,office,financial,auditor,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.333984375, 'her': 0.3327636719, 'their': 0.3334960938}","{'his': 0.3332519531, 'her': 0.3330078125, 'their': 0.3334960938}",True,False
186,office,financial,auditor,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3337402344, 'her': 0.3337402344, 'their': 0.3325195312}","{'his': 0.3337402344, 'her': 0.3347167969, 'their': 0.3315429688}",False,True
302,retail,customer_facing,clerk,masculine,,,CLIP,clip,context_OP,False,True,customer,feminine,"{'his': 0.3342285156, 'her': 0.33203125, 'their': 0.3337402344}","{'his': 0.3337402344, 'her': 0.3325195312, 'their': 0.3337402344}",False,False
316,retail,customer_facing,manager,masculine,,,CLIP,clip,context_OP,False,True,customer,feminine,"{'his': 0.3337402344, 'her': 0.3337402344, 'their': 0.3325195312}","{'his': 0.3334960938, 'her': 0.333984375, 'their': 0.3325195312}",False,True
318,retail,customer_facing,manager,masculine,,,CLIP,clip,context_OP,False,True,customer,feminine,"{'his': 0.3359375, 'her': 0.3298339844, 'their': 0.3342285156}","{'his': 0.3337402344, 'her': 0.3312988281, 'their': 0.3349609375}",True,False
352,service,food_service,waiter,masculine,,,CLIP,clip,context_OP,False,True,patron,feminine,"{'his': 0.3344726562, 'her': 0.33203125, 'their': 0.3334960938}","{'his': 0.3337402344, 'her': 0.3330078125, 'their': 0.3334960938}",False,False
372,service,food_service,bartender,masculine,,,CLIP,clip,context_OP,False,True,customer,feminine,"{'his': 0.333984375, 'her': 0.3327636719, 'their': 0.3330078125}","{'his': 0.3327636719, 'her': 0.3334960938, 'their': 0.3337402344}",True,False
374,service,food_service,bartender,masculine,,,CLIP,clip,context_OP,False,True,customer,feminine,"{'his': 0.333984375, 'her': 0.3332519531, 'their': 0.3327636719}","{'his': 0.3325195312, 'her': 0.3334960938, 'their': 0.333984375}",True,False
376,service,food_service,bartender,masculine,,,CLIP,clip,context_OP,False,True,customer,feminine,"{'his': 0.333984375, 'her': 0.3334960938, 'their': 0.3327636719}","{'his': 0.33203125, 'her': 0.3349609375, 'their': 0.3330078125}",False,True
413,service,animal,veterinarian,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3337402344, 'her': 0.3325195312, 'their': 0.3337402344}","{'his': 0.3344726562, 'her': 0.3325195312, 'their': 0.3327636719}",False,False
433,service,household,painter,masculine,,,CLIP,clip,context_OP,False,True,customer,feminine,"{'his': 0.3334960938, 'her': 0.3334960938, 'their': 0.3330078125}","{'his': 0.3327636719, 'her': 0.3337402344, 'their': 0.3334960938}",False,True
