,sector,specialisation,occ,occ_gender,obj,logits_list_obj,experiment,model_name,context,neutral_check_occ_first,match_truth_occ_first,par,par_gender,logits_list_occ_first,logits_list_par_first,neutral_check_par_first,match_truth_par_first
5,education,institutional,teacher,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.3334960938, 'her': 0.3334960938, 'their': 0.3330078125}","{'his': 0.3332519531, 'her': 0.333984375, 'their': 0.3327636719}",False,True
9,education,institutional,teacher,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.3356933594, 'her': 0.3310546875, 'their': 0.3334960938}","{'his': 0.3349609375, 'her': 0.3317871094, 'their': 0.3332519531}",False,False
25,education,general_courses,instructor,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.3334960938, 'her': 0.3334960938, 'their': 0.3327636719}","{'his': 0.3337402344, 'her': 0.3332519531, 'their': 0.3327636719}",False,False
27,education,general_courses,instructor,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.333984375, 'her': 0.3332519531, 'their': 0.3327636719}","{'his': 0.3332519531, 'her': 0.3347167969, 'their': 0.33203125}",False,True
28,education,general_courses,instructor,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.3337402344, 'her': 0.3330078125, 'their': 0.3334960938}","{'his': 0.3327636719, 'her': 0.333984375, 'their': 0.3332519531}",False,True
29,education,general_courses,instructor,masculine,,,CLIP,clip,context_OP,False,True,student,feminine,"{'his': 0.3337402344, 'her': 0.3330078125, 'their': 0.3330078125}","{'his': 0.3332519531, 'her': 0.3332519531, 'their': 0.3334960938}",True,False
45,medical,mental_health,counsellor,masculine,,,CLIP,clip,context_OP,False,True,patient,feminine,"{'his': 0.333984375, 'her': 0.3330078125, 'their': 0.3330078125}","{'his': 0.3342285156, 'her': 0.3334960938, 'their': 0.3322753906}",False,False
47,medical,mental_health,counsellor,masculine,,,CLIP,clip,context_OP,False,True,patient,feminine,"{'his': 0.3349609375, 'her': 0.3305664062, 'their': 0.3347167969}","{'his': 0.3347167969, 'her': 0.3303222656, 'their': 0.3349609375}",True,False
106,medical,hospital_worker,doctor,masculine,,,CLIP,clip,context_OP,False,True,patient,feminine,"{'his': 0.333984375, 'her': 0.33203125, 'their': 0.333984375}","{'his': 0.3325195312, 'her': 0.3330078125, 'their': 0.3344726562}",True,False
144,office,legal,paralegal,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3364257812, 'her': 0.3325195312, 'their': 0.3310546875}","{'his': 0.3356933594, 'her': 0.3325195312, 'their': 0.3317871094}",False,False
146,office,legal,paralegal,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3366699219, 'her': 0.3315429688, 'their': 0.3317871094}","{'his': 0.3359375, 'her': 0.33203125, 'their': 0.33203125}",False,False
147,office,legal,paralegal,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3354492188, 'her': 0.333984375, 'their': 0.3305664062}","{'his': 0.3347167969, 'her': 0.3337402344, 'their': 0.3315429688}",False,False
163,office,financial,accountant,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3359375, 'her': 0.3310546875, 'their': 0.3330078125}","{'his': 0.3344726562, 'her': 0.3308105469, 'their': 0.3347167969}",True,False
164,office,financial,accountant,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3342285156, 'her': 0.3337402344, 'their': 0.33203125}","{'his': 0.3334960938, 'her': 0.3337402344, 'their': 0.3330078125}",False,True
166,office,financial,accountant,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3344726562, 'her': 0.3327636719, 'their': 0.3327636719}","{'his': 0.3334960938, 'her': 0.3317871094, 'their': 0.3347167969}",True,False
183,office,financial,auditor,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3349609375, 'her': 0.33203125, 'their': 0.3330078125}","{'his': 0.3332519531, 'her': 0.3332519531, 'their': 0.3334960938}",True,False
184,office,financial,auditor,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3359375, 'her': 0.330078125, 'their': 0.333984375}","{'his': 0.3347167969, 'her': 0.3312988281, 'their': 0.333984375}",False,False
185,office,financial,auditor,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3347167969, 'her': 0.3317871094, 'their': 0.3334960938}","{'his': 0.3337402344, 'her': 0.3325195312, 'their': 0.3334960938}",False,False
186,office,financial,auditor,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3349609375, 'her': 0.3310546875, 'their': 0.333984375}","{'his': 0.3349609375, 'her': 0.3327636719, 'their': 0.3322753906}",False,False
187,office,financial,auditor,masculine,,,CLIP,clip,context_OP,False,True,client,feminine,"{'his': 0.3352050781, 'her': 0.3312988281, 'their': 0.3332519531}","{'his': 0.3342285156, 'her': 0.3315429688, 'their': 0.3344726562}",True,False
223,office,financial,advisor,masculine,,,CLIP,clip,context_OP,False,True,advisee,feminine,"{'his': 0.333984375, 'her': 0.3330078125, 'their': 0.3330078125}","{'his': 0.3349609375, 'her': 0.333984375, 'their': 0.3308105469}",False,False
226,office,financial,advisor,masculine,,,CLIP,clip,context_OP,False,True,advisee,feminine,"{'his': 0.3337402344, 'her': 0.3337402344, 'their': 0.3327636719}","{'his': 0.3352050781, 'her': 0.3352050781, 'their': 0.3295898438}",False,False
