IDX	Sector	Specialisation	Occupation	Participant	URL type (Type NA if can't find)	Licence	Occupation_perceived_gender	Participant_perceived_gender	Error codes	Annotator	path
OP_1	education	institutional	teacher	student	https://images.pexels.com/photos/7092361/pexels-photo-7092361.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	masculine		Siobhan	data/visogender_data/OP_images/OP_1.jpeg
OP_2	education	institutional	teacher	student	https://images.pexels.com/photos/7092583/pexels-photo-7092583.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	masculine		Siobhan	data/visogender_data/OP_images/OP_2.jpeg
OP_3	education	institutional	teacher	student	https://images.pexels.com/photos/9159042/pexels-photo-9159042.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	masculine		Siobhan	data/visogender_data/OP_images/OP_3.jpeg
OP_4	education	institutional	teacher	student	https://images.pexels.com/photos/8197543/pexels-photo-8197543.jpeg?auto=compress&cs=tinysrgb&w=600	Yes	masculine	masculine		Siobhan	data/visogender_data/OP_images/OP_4.jpeg
OP_5	education	institutional	teacher	student	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEMPViAHK4s_AIN15g4Bo6lzN66gkW2MUNvA&usqp=CAU	Yes	masculine	masculine		Siobhan	data/visogender_data/OP_images/OP_5.jpeg
OP_6	education	institutional	teacher	student	https://images.pexels.com/photos/5212350/pexels-photo-5212350.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	feminine		Siobhan	data/visogender_data/OP_images/OP_6.jpeg
OP_7	education	institutional	teacher	student	https://images.pexels.com/photos/9159059/pexels-photo-9159059.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	feminine		Siobhan	data/visogender_data/OP_images/OP_7.jpeg
OP_8	education	institutional	teacher	student	https://images.pexels.com/photos/7092538/pexels-photo-7092538.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	feminine		Siobhan	data/visogender_data/OP_images/OP_8.jpeg
OP_9	education	institutional	teacher	student	https://images.pexels.com/photos/6238010/pexels-photo-6238010.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	feminine		Siobhan	data/visogender_data/OP_images/OP_9.jpeg
OP_10	education	institutional	teacher	student	https://images.pexels.com/photos/6334575/pexels-photo-6334575.jpeg?auto=compress&cs=tinysrgb&w=600	Yes	masculine	feminine		Siobhan	data/visogender_data/OP_images/OP_10.jpeg
OP_11	education	institutional	teacher	student	https://images.pexels.com/photos/6502825/pexels-photo-6502825.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	feminine	masculine		Siobhan	data/visogender_data/OP_images/OP_11.jpeg
OP_12	education	institutional	teacher	student	https://images.pexels.com/photos/9572674/pexels-photo-9572674.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	feminine	masculine		Siobhan	data/visogender_data/OP_images/OP_12.jpeg
OP_13	education	institutional	teacher	student	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTGIokkDUyDQSTtaHlEhM2PLaasrfiQ78CjxMsRHAy0AmX0qhFpko8uSqWPknKWtgcHjw&usqp=CAU	Yes	feminine	masculine		Siobhan	data/visogender_data/OP_images/OP_13.jpeg
OP_14	education	institutional	teacher	student	https://images.pexels.com/photos/8423079/pexels-photo-8423079.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	feminine	masculine		Siobhan	data/visogender_data/OP_images/OP_14.jpeg
OP_15	education	institutional	teacher	student	https://images.pexels.com/photos/5940706/pexels-photo-5940706.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	feminine	masculine		Siobhan	data/visogender_data/OP_images/OP_15.jpeg
OP_16	education	institutional	teacher	student	https://images.pexels.com/photos/4778667/pexels-photo-4778667.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1	Yes	feminine	feminine		Siobhan	data/visogender_data/OP_images/OP_16.jpeg
